input,output
"“But, whatever the percentage, in absolute terms the increase isn’t very large – mainly because these birth defects are rather uncommon in the USA. Only around 6 in every 10,000 live births are affected. That number would be less than 1 in every 10,000 live births higher a year after the pandemic began, compared to before it.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 6/10000
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: 1/10000
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: less than
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: number of birth defects before the pandemic
reference_class_description_new: number of birth defects after one year of pandemic
source_base: null
source_new: null"
"A study published in theBMJlooks at online supervised group physical and mental health rehabilitation programme for adults with long Covid after Covid hospitalisation.Dr Baptiste Leurent, Associate Professor in Medical Statistics, UCL, said:“This is a well conducted randomised controlled trials, and the findings appear relatively robust, although not unequivocal.  There is limited research on addressing symptoms of long covid and this study is therefore an important contribution.“The study found a 0.03 higher ‘quality-of-life’ at 3 months for those who received the rehabilitation programme, compared to standard care.  Quality-of-life is a standardised index capturing ‘overall health’, from 0 (death) and 1 (full health).  0.03 is a relatively modest effect, but could be considered sufficient to be worthwhile.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: 0.03
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: adults hospitalized for COVID receiving standard care
reference_class_description_new: adults hospitalized for COVID receiving online supervised group rehab
source_base: study published in theBMJlooks
source_new: study published in theBMJlooks"
"In a new study from Yale, researchers found that the Pfizer-BioNTech vaccine was more than 91% effective at reducing transmission of coronavirus in Israeli households before the emergence of the Delta variant.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0,09
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: more than 91% effective
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: unvaccinated individuals in Israeli households before Delta variant
reference_class_description_new: vaccinated individuals (Pfizer-BioNTech) in Israeli households before Delta variant
source_base: study from Yale
source_new: study from Yale"
"Between June 1, 2020 and July 28, 2021, nearly 1.5 million people in the dataset received two doses of the Pfizer vaccine, and only about 6,500 tested positive for coronavirus following the second dose.

In the study, the team developed a household transmission model to assess the risk of infection based on an individual’s vaccination status and that of other household members.

Before the emergence of the delta variant in Israel, vaccination reduced the risk of being infected by 89%.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: 6500.0
absolute_risk_difference: null
relative_risk: 0,11
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: only
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: 1500000
reference_class_description_base: unvaccinated individuals in Israel
reference_class_description_new: people vaccinated with two doses of Pfizer vaccine 
source_base: null
source_new: null"
"Between June 1, 2020 and July 28, 2021, nearly 1.5 million people in the dataset received two doses of the Pfizer vaccine, and only about 6,500 tested positive for coronavirus following the second dose.

In the study, the team developed a household transmission model to assess the risk of infection based on an individual’s vaccination status and that of other household members.

Before the emergence of the delta variant in Israel, vaccination lowered the risk that people with breakthrough infections would transmit the virus to other household members by 23%.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: 6500.0
absolute_risk_difference: null
relative_risk: 0,77
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: unvaccinated individuals with COVID-19 transmitting to household members
reference_class_description_new: vaccinated individuals with breakthrough infections transmitting to household members
source_base: null
source_new: null"
"Between June 1, 2020 and July 28, 2021, nearly 1.5 million people in the dataset received two doses of the Pfizer vaccine, and only about 6,500 tested positive for coronavirus following the second dose.
Instead, people who had received their second dose of vaccine more than 3 months ago were only 40% less likely to be infected compared to an unvaccinated person and may have actually been more likely to transmit the delta variant to other households members if they were infected.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: 6500.0
absolute_risk_difference: null
relative_risk: 0,6
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: only 40% less likely
reference_class_size_base: null
reference_class_size_new: 1500000
reference_class_description_base: unvaccinated individuals in the dataset
reference_class_description_new: individuals infected with Delta 3+ months after 2nd Pfizer dose in the dataset
source_base: null
source_new: null"
Although fully vaccinated people are more likely to catch BA.2 than the previous strain,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: more likely
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: fully vaccinated people exposed to the previous strain
reference_class_description_new: fully vaccinated people exposed to BA.2
source_base: null
source_new: null"
"In a new study from the Los Angeles County Department of Public Health, researchers found COVID-19 risk and hospitalization are consistently higher for unvaccinated people","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change:  COVID-19 risk and hospitalization are consistently higher
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: unvaccinated people in Los Angeles County
source_base: study from the Los Angeles County Department of Public Health
source_new: study from the Los Angeles County Department of Public Health"
"The researchers found that the incidence and hospitalization rates, respectively, among unvaccinated people, were 12.3 times higher compared to fully vaccinated people","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 12,3
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: unvaccinated people
reference_class_description_new: fully vaccinated people
source_base: researchers
source_new: researchers"
"Of the 761 hospitalized patients with COVID-19, the mean age was 47 years, and 385 (51%) were women. Forty-seven patients (6.2%) were fully vaccinated (breakthrough infection), 127 were partially vaccinated (17%), and 587 (77%) were unvaccinated.

The team found fully vaccinated status was linked to a lower risk of requiring supplemental oxygen than unvaccinated status, as well as lower risk of intensive care unit (ICU) admission.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: 587
reference_class_size_new: 47
reference_class_description_base: unvaccinated vaccinated hospitalized COVID-19 patients with mean age 45 and 385 (51%) woman 
reference_class_description_new: unvaccinated vaccinated hospitalized COVID-19 patients with mean age 45 and 385 (51%) woman 
source_base: null
source_new: null"
