input,output
"If you use the Scalable app, your chances of becoming rich are significantly higher.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: chances are significantly higher 
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: people who use the Scalable app 
source_base: null
source_new: null"
Exchange rate risk refers to the risk that a company’s operations and profitability may be affected by changes in the exchange rates between currencies.,"risk_communication: 0
unrelated_risks: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null"
Infamous economists continue to see a 1-in-3 chance of a U.S. recession in the next 12 months.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 1/3
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: U.S. economic outlook in the next 12 months
reference_class_description_new: null
source_base: Economists
source_new: null"
"The average risk of default for US public companies hit 9.2% at the end of 2024, the highest since the global financial crisis, according to a Moody’s Asset Management report released on Tuesday.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 9,20%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: US public companies at the end of 2024
reference_class_description_new: null
source_base: Moody’s Asset Management report released on Tuesday
source_new: null"
"The probability of a severe credit crunch in the euro area banking sector is now estimated at 15%, down from 22% six months ago, reflecting improved liquidity buffers and lower market stress.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 15,00%
absolute_risk_new: 0.22
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: euro area banking sector risk of credit crunch six months ago
reference_class_description_new: euro area banking sector risk of credit crunch now
source_base: null
source_new: null"
"In a baseline scenario, central bank economists assign a 1-in-10 chance that core inflation will exceed 3.5% in 2026, citing wage dynamics and delayed pass-through effects.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 1/10
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: core inflation in 2026
reference_class_description_new: null
source_base: null
source_new: null"
"Bankers from J.P. Morgan think the signal that excludes the yield curve is most informative: Rather than a 30% chance of a recession in 2025, it projects a 12% chance.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 30%
absolute_risk_new: 12%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: probability of recession in 2025 based on yield curve-inclusive model
reference_class_description_new: probability of recession in 2025 based on signal that excludes the yield curve
source_base: J.P. Morgan bankers
source_new: J.P. Morgan bankers"
"Goldman Sachs reduced its U.S. recession forecast to 35% from 45%, sending a positive message to the stock market.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 45%
absolute_risk_new: 35%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: U.S. recession risk in Goldman Sachs forecast before reduction
reference_class_description_new: U.S. recession risk in Goldman Sachs forecast after reduction
source_base: Goldman Sachs
source_new: Goldman Sachs"
"On Monday, the U.S. and China agreed to reduce tariffs on each other's imports for 90 days., with the U.S. lowering its tariffs on Chinese goods to 30% from 145% and China cutting duties on U.S. imports to 10% from 125%.","risk_communication: 0
unrelated_risks: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null"
"Food inflation is expected to increase to 2.9% in the second quarter of 2025, driven by an upward base effect and a sharp increase in unprocessed food prices, as well as by a large increase in food commodity prices.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: 2,90%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: food inflation in the second quarter of 2025
source_base: null
source_new: null"
The companies revenue increased by 10% last year,"risk_communication: 0
unrelated_risks: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null"
