InputText,Output
"If you use the Scalable app, your chances of becoming rich are significantly higher.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
If you use the Scalable app, your chances of becoming rich are significantly higher.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: significantly higher
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: people who use Scalable app
source_base: null
source_new: null"
Exchange rate risk refers to the risk that a company’s operations and profitability may be affected by changes in the exchange rates between currencies.,"### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
Exchange rate risk refers to the risk that a company’s operations and profitability may be affected by changes in the exchange rates between currencies.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null"
Infamous economists continue to see a 1-in-3 chance of a U.S. recession in the next 12 months.,"### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
Infamous economists continue to see a 1-in-3 chance of a U.S. recession in the next 12 months.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 1/3
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: recession within the next 12 months
reference_class_description_new: null
source_base: null
source_new: null"
"The average risk of default for US public companies hit 9.2% at the end of 2024, the highest since the global financial crisis, according to a Moody’s Asset Management report released on Tuesday.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
The average risk of default for US public companies hit 9.2% at the end of 2024, the highest since the global financial crisis, according to a Moody’s Asset Management report released on Tuesday.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 9,20%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: highest since the global financial crisis
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: US public companies
reference_class_description_new: null
source_base: Moody’s Asset Management
source_new: null"
"The probability of a severe credit crunch in the euro area banking sector is now estimated at 15%, down from 22% six months ago, reflecting improved liquidity buffers and lower market stress.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
The probability of a severe credit crunch in the euro area banking sector is now estimated at 15%, down from 22% six months ago, reflecting improved liquidity buffers and lower market stress.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 22%
absolute_risk_new: 15%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: euro area banking sector
reference_class_description_new: euro area banking sector
source_base: null
source_new: null"
"In a baseline scenario, central bank economists assign a 1-in-10 chance that core inflation will exceed 3.5% in 2026, citing wage dynamics and delayed pass-through effects.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
In a baseline scenario, central bank economists assign a 1-in-10 chance that core inflation will exceed 3.5% in 2026, citing wage dynamics and delayed pass-through effects.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 1/10
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: core inflation in 2026
reference_class_description_new: null
source_base: central bank economists
source_new: null
### Input:
The World Health Organization (WHO) estimates that 1 in 10 people globally have a common mental disorder, such as depression or anxiety.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 1/10
absolute_risk_new: null"
"Bankers from J.P. Morgan think the signal that excludes the yield curve is most informative: Rather than a 30% chance of a recession in 2025, it projects a 12% chance.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
Bankers from J.P. Morgan think the signal that excludes the yield curve is most informative: Rather than a 30% chance of a recession in 2025, it projects a 12% chance.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 0.3
absolute_risk_new: 0.12
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: recession in 2025
reference_class_description_new: recession in 2025
source_base: J.P. Morgan
source_new: J.P. Morgan"
"Goldman Sachs reduced its U.S. recession forecast to 35% from 45%, sending a positive message to the stock market.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
Goldman Sachs reduced its U.S. recession forecast to 35% from 45%, sending a positive message to the stock market.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 45%
absolute_risk_new: 35%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: U.S. recession outlook
reference_class_description_new: U.S. recession outlook
source_base: Goldman Sachs
source_new: Goldman Sachs"
"On Monday, the U.S. and China agreed to reduce tariffs on each other's imports for 90 days., with the U.S. lowering its tariffs on Chinese goods to 30% from 145% and China cutting duties on U.S. imports to 10% from 125%.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
On Monday, the U.S. and China agreed to reduce tariffs on each other's imports for 90 days., with the U.S. lowering its tariffs on Chinese goods to 30% from 145% and China cutting duties on U.S. imports to 10% from 125%.

### Output:
risk_communication: 0
unrelated_risks: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null"
"Food inflation is expected to increase to 2.9% in the second quarter of 2025, driven by an upward base effect and a sharp increase in unprocessed food prices, as well as by a large increase in food commodity prices.","### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
Food inflation is expected to increase to 2.9% in the second quarter of 2025, driven by an upward base effect and a sharp increase in unprocessed food prices, as well as by a large increase in food commodity prices.

### Output:
risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: 2.9%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: food inflation in Q2 2025
reference_class_description_new: food inflation in Q2 2025
source_base: null
source_new: null"
The companies revenue increased by 10% last year,"### Instruction:
From the input text, extract the following fields ONLY.
Format your response as newline-separated entries:

category: value

Do NOT include any additional text, headings, or explanations.

Fields to extract:
- risk_communication
- unrelated_risks
- absolute_risk_base
- absolute_risk_new
- absolute_number_base
- absolute_number_new
- absolute_risk_difference
- relative_risk
- absolute_number_difference
- verbal_descriptor_base
- verbal_descriptor_new
- verbal_descriptor_change
- reference_class_size_base
- reference_class_size_new
- reference_class_description_base
- reference_class_description_new
- source_base
- source_new
### Input:
The companies revenue increased by 10% last year

### Output:
risk_communication: 0
unrelated_risks: null
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: null
source_base: null
source_new: null"
