input,verbal_descriptor_base_ground_truth,verbal_descriptor_base_prediction,verbal_descriptor_new_ground_truth,verbal_descriptor_new_prediction,verbal_descriptor_change_ground_truth,verbal_descriptor_change_prediction,reference_class_description_base_ground_truth,reference_class_description_base_prediction,reference_class_description_new_ground_truth,reference_class_description_new_prediction,source_base_ground_truth,source_base_prediction,source_new_ground_truth,source_new_prediction
"If you use the Scalable app, your chances of becoming rich are significantly higher.",null,null,null,null,chances are significantly higher,significantly higher,null,null,people who use the Scalable app,people who use Scalable app,null,null,null,null
Exchange rate risk refers to the risk that a company’s operations and profitability may be affected by changes in the exchange rates between currencies.,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Infamous economists continue to see a 1-in-3 chance of a U.S. recession in the next 12 months.,null,null,null,null,null,null,U.S. economic outlook in the next 12 months,recession within the next 12 months,null,null,Economists,null,null,null
"The average risk of default for US public companies hit 9.2% at the end of 2024, the highest since the global financial crisis, according to a Moody’s Asset Management report released on Tuesday.",null,highest since the global financial crisis,null,null,null,null,US public companies at the end of 2024,US public companies,null,null,Moody’s Asset Management report released on Tuesday,Moody’s Asset Management,null,null
"The probability of a severe credit crunch in the euro area banking sector is now estimated at 15%, down from 22% six months ago, reflecting improved liquidity buffers and lower market stress.",null,null,null,null,null,null,euro area banking sector risk of credit crunch six months ago,euro area banking sector,euro area banking sector risk of credit crunch now,euro area banking sector,null,null,null,null
"In a baseline scenario, central bank economists assign a 1-in-10 chance that core inflation will exceed 3.5% in 2026, citing wage dynamics and delayed pass-through effects.",null,null,null,null,null,null,core inflation in 2026,core inflation in 2026,null,null,null,central bank economists,null,null
"Bankers from J.P. Morgan think the signal that excludes the yield curve is most informative: Rather than a 30% chance of a recession in 2025, it projects a 12% chance.",null,null,null,null,null,null,probability of recession in 2025 based on yield curve-inclusive model,recession in 2025,probability of recession in 2025 based on signal that excludes the yield curve,recession in 2025,J.P. Morgan bankers,J.P. Morgan,J.P. Morgan bankers,J.P. Morgan
"Goldman Sachs reduced its U.S. recession forecast to 35% from 45%, sending a positive message to the stock market.",null,null,null,null,null,null,U.S. recession risk in Goldman Sachs forecast before reduction,U.S. recession outlook,U.S. recession risk in Goldman Sachs forecast after reduction,U.S. recession outlook,Goldman Sachs,Goldman Sachs,Goldman Sachs,Goldman Sachs
"On Monday, the U.S. and China agreed to reduce tariffs on each other's imports for 90 days., with the U.S. lowering its tariffs on Chinese goods to 30% from 145% and China cutting duties on U.S. imports to 10% from 125%.",null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Food inflation is expected to increase to 2.9% in the second quarter of 2025, driven by an upward base effect and a sharp increase in unprocessed food prices, as well as by a large increase in food commodity prices.",null,null,null,null,null,null,null,food inflation in Q2 2025,food inflation in the second quarter of 2025,food inflation in Q2 2025,null,null,null,null
The companies revenue increased by 10% last year,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"According to 2023 findings from the Global Retirement Index, 7.2% of Indian retirees were underfunded, with projections suggesting the number could reach 16 million by 2036.",null,null,could reach,null,null,null,underfunded Indian retirees in 2023,retirees in India,underfunded Indian retirees in 2036 projection,retirees in India,Global Returement Index,the 2023 Global Retirement Index,Global Returement Index,the 2023 Global Retirement Index
But recent data suggested that many children today are not receiving the vision screenings needed to flag potential issues: Those between 6 and 17 years who had their vision tested in the previous 2 years dropped from 84.6% in 2016 to 79.6% in 2023.,null,null,null,null,null,null,children between 6 and 17 in 2016,children between 6 and 17 years old who had their vision tested in 2016,children between 6 and 17 in 2023,children between 6 and 17 years old who had their vision tested in 2023,recent data,null,recent data,null
"Both men and women athletes suffer from concussions, but they occur at a substantially higher rate for women in many sports.Consider, for instance, ice hockey. The concussion rate for adult women's ice hockey is 39% higher than it is for adult men's ice hockey, according to one systematic review published in the scientific journal Sports Medicine.",null,null,null,null,substantially higher rate,null,adult men who play icehockey,adult men's ice hockey,adult women who play icehockey,adult women's ice hockey,one systematic review published in the scientific journal Sports Medicine.,null,one systematic review published in the scientific journal Sports Medicine.,null
"Lyme disease cases in Michigan have increased by 168% over the last five years, the Michigan Department of Health and Human Services said. The state recorded 1,215 cases in 2024, compared to 452 cases in 2020.",null,null,null,null,null,null,people in michigan in 2020,Michigan residents,people in michigan in 2024,Michigan residents,the Michigan Department of Health and Human Services,Michigan Department of Health and Human Services,the Michigan Department of Health and Human Services,Michigan Department of Health and Human Services
"More than 80 autoimmune diseases are known, some of which are caused by exposure to environmental toxins and have no discovered cure. At least 15 million people in the United States, or about 5% of the population, have an autoimmune disease, the agency reports.",null,null,null,null,null,null,people in the United states,population in the United States,null,null,the agency,null,null,null
"Not getting enough sunlight can also pose significant risks. Research suggests that a lack of sun exposure may be linked to 340,000 deaths in the United States each year. ",significant risk,null,null,null,null,null,people in the United states,people in the United States,null,null,Research,null,null,null
"They tested nearly 200 unique products across several brands. Around 17% -- roughly one in six -- were found to have incorrect active ingredient levels, including products used in major hospitals.",roughly one in six,roughly one in six,null,null,null,null,unique products across several brands,unique products across several brands,null,null,null,null,null,null
"While globally suicide ranks third for youth mortality, in India, it is surpassed only by road accidents. The share of suicides is slightly higher among young women (18.2%) than men (16.3%)",null,null,null,null,slightly higher,null,young men in India,young people in India,young women in India,null,null,null,null,null
"By the mid-20th century, tuberculosis in the United States and Europe had already declined thanks to improved nutrition and living conditions. Once treatments arrived in the 1950s, deaths tumbled: by the late 1980s, they had fallen by over 90% in the United States. ",null,null,null,null,null,null,People in the U.S in the 1950s,people in United States and Europe before mid-20th century,People in the U.S in the late 1980s,people in United States in late 1980s,null,null,null,null
"Glaucoma affects about 700,000 people in the UK. A report by the Royal College of Ophthalmologists suggests cases could rise by 22% by 2035.",null,null,null,null,null,null,people in th UK,people in the UK with glaucoma,people in the UK in 2035,people in the UK with glaucoma,A report by the Royal College of Ophthalmologists,A report by the Royal College of Ophthalmologists,A report by the Royal College of Ophthalmologists,A report by the Royal College of Ophthalmologists
The prevalence of dry eye varies significantly across demographics. Women are almost twice as likely to develop the condition compared to men (8.8% vs. 4.5%),null,null,null,null,almost twice as likely,almost twice as likely,men,women,women,men,null,null,null,null
"The number of follicles progressively declines with age. By age 30, most women have only about 12% of the egg cells they were born with. After a certain point they lose follicles at a faster rate, though it's not known why. By age 40, a mere 3% may remain.",only,about 12%,mere,mere 3%,lose at a faster rate,null,women age 30,eggs at birth,women age 40,eggs at age 40,null,null,null,null
"In the summer of 2022, Paris recorded 37 heat-related deaths, while in 2023 the number rose to 65.",null,null,null,null,null,null,heat-related deaths in Paris in summer of 2022,people in Paris who died from heat exposure in 2022,heat-related deaths in Paris 2023,people in Paris who died from heat exposure in 2023,null,null,null,null
"According to a recent report by the World Health Organization, a resurgence of measles outbreaks in sub-Saharan Africa is considered likely within the next two years.",likely,null,null,null,null,considered likely,sub-Saharan African population,null,null,sub-Saharan Africa within the next two years,recent report by the World Health Organization,null,null,World Health Organization
"Estimates now range from about 5 per 100,000 to 39 per 100,000 among hospitalized children, suggesting pulmonary embolism is more common than previously estimated.",more common,null,null,null,null,null,hospitalized children,hospitalized children,null,hospitalized children,null,null,null,null
"According to CDC estimates, overdose deaths in the U.S. dropped from 105,000 in 2023 to 77,000 in 2024 — a 27% decline, marking an unprecedented improvement.",null,null,null,null,null,null,people in United States,people in the U.S.,people in United States,people in the U.S.,CDC estimates,null,CDC estimates,null
"In the U.S., 12.3% of chronic disease deaths in 2019 were linked to overweight and obesity — a sharp rise from 6.1% in 1990.",null,null,null,null,a sharp rise,null,people in China,deaths from chronic diseases in the US in 1990,people in China,deaths from chronic diseases in the US in 2019,null,null,null,null
"A recent study found that 4.4% of individuals aged 12 and older in Bavaria — about 260,000 people — misuse opioids, nearly four times the national average of Germany.",null,null,null,null,nearly four times the national average,nearly four times,people in Germany,people in Germany,people in Bavaria,people in Bavaria,a recent study,study,a recent study,study
UK Biobank data shows normal-weight individuals who walk slowly have a 3.9x higher risk of dying from COVID-19 than brisk walkers of the same weight.,null,null,null,null,null,3.9x higher risk,individuals who are normal-weight fast walkers,brisk walkers of the same weight,individuals who are normal-weight slow walkers,normal-weight individuals who walk slowly,UK Biobank data,UK Biobank data,UK Biobank data,UK Biobank data
"India bears the highest rabies toll in the world, accounting for 35% of global deaths estimated at 18,000 to 20,000 lives lost annually, according to WHO and Health Ministry data.",null,null,null,null,null,null,all people worldwide who die of rabies,world population,null,null,null,WHO and Health Ministry data,null,null
The study also says that there is evidence to suggest that the Pfizer vaccine leads to an 83% reduction in deaths from COVID-19.,null,null,null,null,null,null,null,people who received Pfizer vaccine,people who are vaccinated with the Pfizer vaccine,people who received Pfizer vaccine,null,study,the study,study
"After approximately 80 days, the rate of tissue loss among hard corals when treated this way was 17.6%. Over that same period, treatment with a paste of the antibiotic amoxicillin resulted in a tissue loss rate of around 1.7%. That makes the antibiotic, which is commonly used to treat SCTLD, significantly more efficient than chlorine.",null,null,null,null,significantly more efficient,significantly more efficient,hard corals treated with the chlorine-based method over 80 days,hard corals treated with chlorine,hard corals treated with a paste of antibiotic amoxicilin over 80 days,hard corals treated with amoxicillin,null,null,null,null
The National Childhood Measurement Programme shows 9.6% of children in England are obese when they begin primary school and 22.1% of 10 and 11-year-olds are obese.,null,null,null,null,null,null,children when they begin primary school in England,children in England who are obese when they begin primary school,10 and 11-year-olds in England,10 and 11-year-olds in England who are obese,null,National Childhood Measurement Programme,null,National Childhood Measurement Programme
"The age group that accounts for the most fireworks-related injuries are those between 25 and 49 years old, accounting for 41% of emergency department visits.",null,null,null,null,null,null,adults aged 25 to 49,emergency department visits of fireworks-related injuries,null,null,null,null,null,null
"Sitting also affects the body's capacity to break down fat. When you are idle, the production of lipoprotein lipase, the enzyme responsible for fat breakdown, decreases by approximately 90%, leading fat to be retained rather than consumed.",null,null,null,null,null,null,null,null,people who are idle or sitting for extended periods,null,null,null,null,null
"Multimorbidity, which occurs when individuals have at least two long-term health conditions, affects over one-third of adults worldwide and is projected to increase by 84% by 2050. ",null,null,null,null,null,null,adults worldwide affected by multimorbidity currently,adults worldwide,adults worldwide projected to be affected by multimorbidity in 2050,adults worldwide in 2050,null,null,null,null
"You may need less exercise than you think: Studies suggest that even just 30 minutes of moderate physical activity a day -- about 3% of your waking hours -- is enough to reduce the risk of heart attack , the magazine LeBrasseur said.",null,null,null,null,enough to move the needle,null,null,null,people doing 30 minutes of moderate physical activity per day,moderate physical activity a day,LeBrasseur,null,LeBrasseur,null
The Rochester Epidemiology Project between 1991 and 2015 helped researchers compare Parkinson's patients with a control group.The greatest risk was seen in people living one to three miles from a golf course and the expansive lawns that come with it.,null,greatest risk,greatest risk,null,null,null,people in the control group,people living one to three miles from a golf course,people living one to three miles from a golf course,null,data from the Rochester Epidemiology Project between 1991 and 2015,Rochester Epidemiology Project,data from the Rochester Epidemiology Project between 1991 and 2016,null
" For instance, one large study of nearly 2,000 people found that anorexia was rare among families without eating disorders, but female relatives of people with an eating disorder were more than 11 times as likely to develop anorexia themselves.",null,null,null,null,more than 11 times as likely,more than 11 times as likely,null,female relatives of people without eating disorders,female relatives of people with an eating disorder,female relatives of people with eating disorders,One large study,null,One large study,null
A recent Norwegian study reveals that walking for 100 minutes weekly can significantly reduce chronic lower back pain by 23%.,null,null,null,null,significantly reduce,significantly reduce,people who do not walk 100 minutes per week,people who do not walk for 100 minutes weekly,people who walk 100 minutes per week,people who walk for 100 minutes weekly,recent Norwegian study,A recent Norwegian study,recent Norwegian study,A recent Norwegian study
"Currently, dementia affects an estimated 6.9 million Americans, or about 2% of the population. That number is expected to double by 2060 as Millennials reach and surpass age 70 -- when cognitive decline on average first appears -- with Gen Z'ers (born from the mid-1990s to roughly 2010) hot on their aging heels.",null,null,null,null,expected to double,null,people affected by dementia in the U.S. in the current year,Americans,people projected to be affected by dementia in the U.S. in 2060,Americans in 2060,null,null,null,null
"In two clinical trials called PURPOSE 1 and PURPOSE 2, lenacapavir worked extremely well to prevent HIV infections in both men and women. More than 99.9% of participants taking the twice-a-year shot remained HIV negative during the studies.","more than 99,9%",more than 99.9%,null,null,null,null,participants taking the twice-a-year lenacapavir shot in the PURPOSE trials,participants taking the twice-a-year shot,null,null,null,null,null,null
"Their nationally representative analysis found that ""among those who had never had a major cardiovascular event, just under half -- 47 percent -- were eligible for cholesterol-lowering drugs under U.S. guidelines but only 23 percent were taking them,"" the news release reported.",just under half,null,null,null,null,null,people without prior cardivascular events who are eligible for cholesterol-lowering drugs,people who had never had a major cardiovascular event,people without prio cardiovascular events who are actually taking cholesterol-lowering drugs,people who had never had a major cardiovascular event,the news release,null,the news release,null
"Lyme disease cases in Michigan have increased by 168% over the last five years, the Michigan Department of Health and Human Services said. The state recorded 1,215 cases in 2024, compared to 452 cases in 2020.",null,null,null,null,null,null,reported Lyme disease cases in Michigan in 2020,Michigan residents,reported Lyme disease cases in Michigan in 2024,Michigan residents,null,Michigan Department of Health and Human Services,null,Michigan Department of Health and Human Services
"Adults who received the recombinant shingles vaccine Shingrix or the respiratory syncytial virus (RSV) vaccine Arexvy -- both of which contain the AS01 adjuvant -- had a lower risk for dementia in the 18 months after vaccination than peers who received the flu vaccine, which does not contain the AS01 adjuvant, investigators found.",null,null,null,null,lower risk,lower risk,adults who received the flu vaccine (without AS01 adjuvant),null,adults who received the Shingrix or Arexvy vaccine (with AS01 adjuvant),adults who received the recombinant shingles vaccine Shingrix or the respiratory syncytial virus (RSV) vaccine Arexvy,investigators,null,investigators,null
The new diabetes treatment reduced the incidence of severe cardiovascular events by 35% in patients at high risk. These results mark a major breakthrough and support broader use of the therapy in routine care.,null,null,null,null,null,null,null,patients at high risk,patients at high risk receiving the new treatment,patients at high risk,null,null,null,null
